id,Mark_10th,Mark_12th,Mark_college,Department
1,79,65,80,BCA
2,70,80,70,BCA
3,69.5,61,55,BCA
4,70,59,58,BCA
5,40,65,30,BCA
6,90,75,70,BCA
7,70,63,3,BCA
8,61.6,61.67,75,BCA
9,88.2,67.5,60,BCA
10,60,65,70,BCA
11,75,70,60,BCA
12,60,55,65,BCA
13,59,54,80,BCA
14,50,55,50,BCA
15,89.5,69.7,70,BCA
16,54,48,60,BCA
17,83,76,75,BCA
18,62,61.3,53,BCA
19,60,65,60,BCA
20,60,70,88,BCA
21,65,65,50,BCA
22,65,70,50,BCA
23,78,60,60,BCA
24,75,73.8,65,BCA
25,75,60,80,BCA
26,60,50,50,BCA
27,90,90,80,BCA
28,73,85,55,BCA
29,89,77,65,BCA
30,94,94,80,BCA
31,60,65,65,BCA
32,78,60,75,BCA
33,69,60,50,BCA
34,85.6,70,65,BCA
35,65,60,65,BCA
36,70,60,60,BCA
37,85,80,80,BCA
38,90,90,90,BCA
39,79,65,75,BCA
40,77,87,60,BCA
41,54,51,66,BCA
42,70,55,70,BCA
43,72,80,79,Commerce
44,70,70,70,Commerce
45,70,75,70,Commerce
46,64,88,70,B.com Accounting and Finance
47,75,75,75,B.com Accounting and Finance
48,60,82,65,B.com Accounting and Finance
49,66,65,60,B.com Accounting and Finance
50,73,72,1,B.com Accounting and Finance
51,62,53,80,B.com Accounting and Finance
52,85,88,89,B.com Accounting and Finance
53,70,80,75,B.com Accounting and Finance
54,98,80,85,Commerce
55,86,78,85,Commerce
56,87,84,92,Commerce
57,82,70,80,Commerce
58,80,60,60,Commerce
59,93.6,85,93,Commerce
60,90,80,95,B.com Accounting and Finance
61,88,81,80,Commerce
62,87,78,84,Commerce
63,70,70,90,Commerce
64,89,69,80,BCA
65,70,60,70,BCA
66,95,90,90,BCA
67,80,75,75,BCA
68,90,62,79,BCA
69,84,65,85,BCA
70,50,50,60,BCA
71,91,60,60,BCA
72,84,64,75,BCA
73,87,75,89,BCA
74,89.8,63.3,73.3,BCA
75,89,69,80,BCA
76,75,55,60,BCA
77,93,66,85,BCA
78,92,69,85,BCA
79,88,58,50,BCA
80,88,70,70,BCA
81,7.4,79,75,BCA
82,75,70,70,BCA
83,80,70,75,BCA
84,81.4,69,75,BCA
85,78,55,70,BCA
86,60,60,50,BCA
87,75,64,74,BCA
88,90.2,61.6,85,BCA
89,80,62,75,BCA
90,86.5,65.3,79.5,BCA
91,88.8,71,85,BCA
92,90,75,70,BCA
93,85,61,75,BCA
94,76,70,7.5,BCA
95,80,70,70,BCA
96,91,73.3,85,BCA
97,85,90,85,BCA
98,80,60,80,BCA
99,85.8,63.66,80,BCA
100,80,70,60,BCA
101,75,50,78,BCA
102,95,75,85,BCA
103,95,85,86,BCA
104,90,64,80,BCA
105,79.4,61.33,80.87,BCA
106,90,74,74,BCA
107,77,70,60,BCA
108,80,60,70,BCA
109,90,57,68,BCA
110,84,63,70,BCA
111,86,68,70,BCA
112,94,69,85,BCA
113,69,54,50,BCA
114,85,64,80,BCA
115,88,88,80,BCA
116,85,50,70,BCA
117,69,60,68,BCA
118,85,60,60,BCA
119,85,72,70,BCA
120,70,78,75,BCA
121,72,75,80,B.com Accounting and Finance
122,80,60,68,BCA
123,60,68.1,70,BCA
124,84,55,70,BCA
125,72.6,62.6,85,BCA
126,91,86,90,BCA
127,90,65,65,BCA
128,78,67,80,BCA
129,91,81,75,BCA
130,82,55,75,BCA
131,80.5,53,80,BCA
132,75,57,55,BCA
133,75,68,70,BCA
134,90,85,82,B.com Accounting and Finance
135,85,60,60,BCA
136,84.2,64.8,84,BCA
137,91.4,65.5,82.96,BCA
138,86,72,80,BCA
139,85,55,75,BCA
140,80,60,60,BCA
141,78,58,69,BCA
142,75,65,65,BCA
143,80,60,65,BCA
144,90,70,50,BCA
145,80,88,80,B.com Accounting and Finance
146,75,90,85,B.com Accounting and Finance
147,50,50,65,BCA
148,71.2,79.5,70,B.com Accounting and Finance
149,80.2,70,12,B.com Accounting and Finance
150,85,63,74,BCA
151,90.2,72.8,85,BCA
152,61.8,68.3,66.3,BCA
153,80,69,60,BCA
154,79,61,70,BCA
155,64,49.5,85,BCA
156,86,68,80,BCA
157,71,66,80,BCA
158,80,73,80,BCA
159,50,50,35,Commerce
160,65,75,97,Commerce
161,90,80,80,Commerce
162,85,91,88,Commerce
163,75,70,70,Commerce
164,82,78,80,Commerce
165,84,85,80,Commerce
166,91,83.5,80,Commerce
167,92,75,90,Commerce
168,75,75,80,Commerce
169,90,80,85,Commerce
170,81,64,85,Commerce
171,70,71,91,Commerce
172,70,60,60,Commerce
173,93,86,85,Commerce
174,76,63,70,Commerce
175,60,79,50,Commerce
176,83.7,76.77,80,Commerce
177,76,76,92.8,Commerce
178,70,50,60,Commerce
179,91,70,80,Commerce
180,80,75,70,Commerce
181,60,60,60,B.com ISM
182,60,77,50,B.com ISM
183,60,70,65,B.com ISM
184,54,65,2,B.com ISM
185,46,48,60,B.com ISM
186,76,47,30,B.com ISM
187,70,60,50,B.com ISM
188,56,57,67,B.com ISM
189,67,70,60,B.com ISM
190,75,79,70,B.com ISM
191,65,70,65,B.com ISM
192,86,86,89,B.com ISM
193,70,67,65,B.com ISM
194,60,52,60,B.com ISM
195,60,60,60,B.com ISM
196,50,50,50,B.com ISM
197,45,45,50,B.com ISM
198,67,54,86,B.com ISM
199,79,62,60,B.com ISM
200,60,50,55,B.com ISM
201,50,50,50,B.com ISM
202,80,70,70,B.com ISM
203,96,92,80,Commerce
204,76,83,70,Commerce
205,55,50,60,Commerce
206,89,79,70,Commerce
207,95.6,86,85,Commerce
208,60,60,60,Commerce
209,81,80,70,Commerce
210,84,76,70,Commerce
211,80,60,70,Commerce
212,75,65,75,Commerce
213,90.4,80,80,Commerce
214,85,75,70,Commerce
215,93.8,83.5,100,Commerce
216,78,75,90,Commerce
217,75,85,90,Commerce
218,85,74,75,Commerce
219,88,85,90,Commerce
220,90,73,80,Commerce
221,85,80,80,Commerce
222,83,73,75,Commerce
223,85,80,60,Commerce
224,82,73,80,Commerce
225,97,80,100,Commerce
226,80,89,95,Commerce
227,93,85,90,Commerce
228,55,57,60,B.com ISM
229,75,75,65,B.com ISM
230,60,70,70,B.com ISM
231,72,67,65,B.com ISM
232,72,70,76,B.com ISM
233,90,75,70,BCA
234,85,74,75,Commerce
235,45,45,50,B.com ISM
